Player,Federation
"Adams, Michael",ENG
"Agzamov, Georgy T",USSR
"Alekhine, Alexander A",FRA
"Anand, Viswanathan",IND
"Anderssen, Adolf",GER
"Andersson, Ulf",SWE
"Atkins, Henry E",ENG
"Averbakh, Yury L",USSR
"Bareev, Evgeny",RUS
"Barnes, Thomas W",ENG
"Barry, John F",USA
"Beliavsky, Alexander G",USSR
"Berger, Johann N",AUT
"Bernstein, Ossip S",FRA
"Bird, Henry E",ENG
"Blackburne, Joseph H",ENG
"Boden, Samuel S",ENG
"Bogoljubow, Efim D",GER
"Boleslavsky, Isaak E",USSR
"Botvinnik, Mikhail M",USSR
"Bronstein, David I",USSR
"Burn, Amos",ENG
"Capablanca, José R",CUB
"Chajes, Oscar",USA
"Charousek, Rezsö",HUN
"Chigorin, Mikhail I",RUS
"Dolmatov, Sergey V",USSR
"Dreev, Alexey",RUS
"Dubois, Serafino",ITA
"Dufresne, Jean",GER
"Duras, Oldrich",CSK
"Eliskases, Erich G",AUT
"Englisch, Berthold",AUT
"Euwe, Machgielis",NED
"Falkbeer, Ernst K",AUT
"Fine, Reuben",USA
"Fischer, Robert J",USA
"Flohr, Salo",CSK
"Furman, Semen A",USSR
"Gelfand, Boris",ISR
"Geller, Efim P",USSR
"Gligoric, Svetozar",YUG
"Golmayo Zupide, Celso F",ESP
"Grünfeld, Ernst",AUT
"Gunsberg, Isidor",ENG
"Gurevich, Mikhail N",RUS
"Hamppe, Carl",AUT
"Harrwitz, Daniel",GER
"Hirschfeld, Philip",GER
"Horwitz, Bernhard",ENG
"Hübner, Robert",GER
"Ivanchuk, Vassily",UKR
"Jaffe, Charles",USA
"Janowsky, Dawid M",FRA
"Journoud, Paul",FRA
"Jussupow, Artur M",GER
"Kamsky, Gata",USA
"Karpov, Anatoly E",USSR
"Kashdan, Isaac",USA
"Kasparov, Garry K",USSR
"Kaufmann, Arthur",AUT
"Keres, Paul",USSR
"Kholmov, Ratmir D",USSR
"Kieseritzky, Lionel A",FRA
"Kipping, James S",ENG
"Knorre, Victor",RUS
"Kolisch, Ignatz",AUT
"Korchnoi, Viktor L",SUI
"Kostic, Boris",YUG
"Kotov, Alexander A",USSR
"Kramnik, Vladimir",RUS
"Lange, Max",GER
"Larsen, Bent",DEN
"Lasker, Emanuel",GER
"Leko, Peter",HUN
"Lichtenhein, Theodor",USA
"Lilienthal, Andor",USSR
"Lipke, Paul",GER
"Lipnitsky, Isaak O",USSR
"Ljubojevic, Ljubomir",YUG
"Löwenthal, Johann J",ENG
"MacDonnell, George A",ENG
"Mackenzie, George H",USA
"Makogonov, Vladimir A",USSR
"Makovets, Gyula",HUN
"Marco, Georg",AUT
"Marshall, Frank J",USA
"Maróczy, Géza",HUN
"Mason, James",ENG
"Matisons, Hermanis",LAT
"Maurian, Charles Amedee",USA
"Mayet, Carl",GER
"Mecking, Henrique",BRA
"Metger, Johannes A",GER
"Mieses, Jacques",GER
"Mongrédien, Augustus",ENG
"Morozevich, Alexander",RUS
"Morphy, Paul C",USA
"Najdorf, Miguel",ARG
"Neumann, Gustav R",GER
"Nimzowitsch, Aron",DEN
"Owen, John",ENG
"Paulsen, Louis",GER
"Petrosian, Tigran V",USSR
"Pillsbury, Harry N",USA
"Pindar, Edward",ENG
"Pirc, Vasja",YUG
"Polgar, Judit",HUN
"Polugaevsky, Lev A",USSR
"Portisch, Lajos",HUN
"Potter, William N",ENG
"Psakhis, Lev B",ISR
"Reshevsky, Samuel H",USA
"Romanishin, Oleg M",USSR
"Rosenthal, Samuel",FRA
"Rubinstein, Akiba K",POL
"Réti, Richard",CSK
"Saint-Amant, Pierre C",FRA
"Salov, Valery B",RUS
"Schallopp, Emil",GER
"Schlechter, Carl",AUT
"Schwarz, Adolf",HUN
"Shirov, Alexei",ESP
"Short, Nigel D",ENG
"Shumov, Ilia S",RUS
"Smyslov, Vassily V",USSR
"Sokolov, Andrey Y",USSR
"Spassky, Boris V",USSR
"Speelman, Jonathan S",ENG
"Spielmann, Rudolf",AUT
"Stanley, Charles H",USA
"Staunton, Howard",ENG
"Stein, Leonid Z",USSR
"Steinitz, Wilhelm",AUT
"Ståhlberg, Gideon",SWE
"Suhle, Berthold",GER
"Svidler, Peter",RUS
"Szabó, László",HUN
"Szén, Jósef",HUN
"Taimanov, Mark E",USSR
"Tal, Mikhail",USSR
"Tarrasch, Siegbert",GER
"Tartakower, Saviely G",FRA
"Teichmann, Richard",GER
"Thompson, James",USA
"Timman, Jan H",NED
"Topalov, Veselin",BUL
"Torre Repetto, Carlos",MEX
"Tseshkovsky, Vitaly V",USSR
"Tukmakov, Vladimir B",USSR
"Urusov, Sergey S",RUS
"Vaganian, Rafael A",ARM
"Vidmar, Milan Sr",YUG
"Walbrodt, Carl A",GER
"Weiss, Miksa",HUN
"Wiegelmann, Thomas",GER
"Williams, Elijah",ENG
"Winawer, Szymon A",POL
"Wisker, John",ENG
"Wittek, Alexander",AUT
"Wolf, Heinrich",AUT
"Yudasin, Leonid G",ISR
"Zukertort, Johannes H",GER
"de Rivière, Jules A",FRA
"de Vere, Cecil V",ENG
"von Bardeleben, Curt",GER
"von Jaenisch, Carl F",RUS
"von Minckwitz, Hans",GER
"von der Lasa, Tassilo",GER
